Household_ID,State,Primary_Crop,Season,Land_Area_Hectares,Num_Crop_Types,Crop_Diversification_Index,Irrigation_Access,Irrigation_Type,Soil_Quality_Index,Input_Cost_INR,Household_Size,Farming_Experience_Years,Annual_Farm_Income_INR
HH0001,Rajasthan,Cotton,Rabi,0.81,2,0.494,0,None,1,10015,5,4,53843
HH0002,Gujarat,Sugarcane,Zaid,0.18,1,0.009,0,None,3,3000,5,43,64785
HH0003,Haryana,Sugarcane,Kharif,0.95,5,0.81,0,None,3,26213,3,3,113210
HH0004,Tamil Nadu,Wheat,Rabi,2.93,2,0.505,0,None,2,59287,5,32,132715
HH0005,Maharashtra,Maize,Rabi,2.13,2,0.515,1,Canal,3,50239,2,34,152835
HH0006,Maharashtra,Pulses,Rabi,1.94,1,0.0,0,None,2,30647,3,16,69459
HH0007,Uttar Pradesh,Rice,Rabi,1.06,4,0.756,1,Canal,3,23946,4,4,88448
HH0008,West Bengal,Soybean,Zaid,0.46,1,0.003,0,None,2,13162,5,18,29567
HH0009,Tamil Nadu,Soybean,Kharif,2.09,4,0.757,0,None,2,36316,5,28,100999
HH0010,Haryana,Pulses,Kharif,0.66,1,0.002,1,Sprinkler,3,13763,6,42,64312
HH0011,Uttar Pradesh,Soybean,Kharif,8.64,4,0.712,1,Canal,3,159241,5,6,374803
HH0012,Gujarat,Soybean,Kharif,2.19,3,0.627,0,None,3,46409,5,43,109684
HH0013,West Bengal,Groundnut,Kharif,0.82,1,0.0,1,Sprinkler,3,14416,3,42,97779
HH0014,Maharashtra,Wheat,Kharif,0.8,3,0.692,1,Drip,1,12137,6,1,44864
HH0015,Maharashtra,Maize,Rabi,1.25,2,0.525,1,Tubewell,1,21853,2,16,70554
HH0016,Maharashtra,Sugarcane,Kharif,1.1,1,0.025,0,None,3,13372,5,37,119096
HH0017,Madhya Pradesh,Cotton,Rabi,3.49,4,0.759,1,Tubewell,3,104505,4,9,247247
HH0018,Andhra Pradesh,Rice,Kharif,1.58,2,0.436,0,None,2,36178,6,17,76825
HH0019,Karnataka,Wheat,Kharif,0.72,2,0.469,0,None,1,11569,5,36,49010
HH0020,Madhya Pradesh,Wheat,Kharif,6.73,1,0.005,0,None,2,79216,6,34,250894
HH0021,Tamil Nadu,Groundnut,Kharif,1.41,2,0.504,1,Tubewell,2,24785,3,31,83671
HH0022,Uttar Pradesh,Pulses,Kharif,2.59,4,0.743,1,Canal,3,76071,5,34,164655
HH0023,Madhya Pradesh,Wheat,Kharif,0.8,2,0.511,1,Tank,1,11930,5,37,62230
HH0024,Rajasthan,Rice,Rabi,1.84,5,0.8,1,Tubewell,1,61114,2,34,82436
HH0025,Karnataka,Millets,Kharif,1.76,5,0.804,1,Tank,3,43075,4,37,112935
